"","inspct","action1","claims","repudns","enqs","enqrs","mm1","dt0","tmax","tmin","af","rain","dtmax","dtmin"
"1",1932,1372,83,231,5184,1407,1,2013-01-31,4.806452,0.6451613,15,39.8,-0.3165137,-0.6491228
"2",2148,1585,63,246,3532,2179,2,2013-02-28,4.642857,0.03571429,7,19.6,-0.03403648,-0.9446429
"3",2557,1895,40,115,3235,1260,3,2013-03-31,4.774194,-0.6774194,5,38.6,0.0282879,-19.96774
"4",2197,1722,22,69,2231,1985,4,2013-04-30,11.7,3.033333,2,26.4,1.450676,-5.477778
"5",2184,1636,15,66,1194,1798,5,2013-05-31,14.74194,6.258065,0,52,0.2599945,1.063098
"6",2612,1921,12,50,983,2583,6,2013-06-30,18.1,9.266666,0,14.2,0.2277899,0.4807559
"7",1809,1379,12,47,715,702,7,2013-07-31,24.48387,13.16129,0,32.8,0.3527001,0.4202832
"8",2128,1590,23,47,608,446,8,2013-08-31,22.12903,12.96774,0,48.2,-0.09617921,-0.01470587
"9",2497,1688,12,51,609,423,9,2013-09-30,17.66667,9.566667,0,34.8,-0.2016521,-0.262272
"10",2401,1459,24,69,608,478,10,2013-10-31,14.87097,9.16129,0,78.2,-0.1582471,-0.04237384
"11",2483,1420,16,82,987,762,11,2013-11-30,8.5,3.5,0,40.2,-0.4284165,-0.6179577
"12",2373,1595,29,122,940,434,12,2013-12-31,8.806452,3.225806,1,36,0.03605315,-0.07834101
"13",2462,1454,77,328,3881,2363,1,2014-01-31,8.290322,2.741935,4,103.6,-0.05860811,-0.15
"14",2785,1784,108,308,4265,2799,2,2014-02-28,8.714286,3.107143,0,61.2,0.05113957,0.1331933
"15",3502,2123,37,158,2792,1930,3,2014-03-31,12.32258,3,1,17.4,0.4140666,-0.03448278
"16",2710,1711,21,58,1346,1110,4,2014-04-30,14.5,6.066667,0,13.8,0.1767016,1.022222
"17",2714,1748,23,54,974,696,5,2014-05-31,16.12903,8.193548,0,84.6,0.112347,0.3505849
"18",2662,1826,21,67,926,671,6,2014-06-30,20.2,10.46667,0,44.4,0.2524001,0.2774278
"19",2702,1513,14,71,710,424,7,2014-07-31,23.87097,13.35484,0,49.2,0.181731,0.27594
"20",2032,1390,14,48,567,378,8,2014-08-31,20.03226,11.22581,0,126.8,-0.1608108,-0.1594203
"21",2519,1677,19,67,547,297,9,2014-09-30,19.73333,11.26667,0,23,-0.0149222,0.003639843
"22",2417,1272,11,51,588,361,10,2014-10-31,15.70968,9.193548,0,67.2,-0.2039015,-0.1840046
"23",3100,1162,24,74,840,513,11,2014-11-30,10.76667,5.466667,2,58.4,-0.3146475,-0.4053801
"24",3489,1311,19,88,717,453,12,2014-12-31,8.129032,2.580645,4,40.2,-0.2449815,-0.5279308
"25",2623,1239,57,168,1772,1007,1,2015-01-31,7.387097,1.096774,4,46.7,-0.09126981,-0.575
"26",2045,1691,47,174,2195,1233,2,2015-02-28,6.285714,0.7142857,2,30.8,-0.1490955,-0.3487395
"27",2495,1986,26,97,2034,1325,3,2015-03-31,10.29032,2.709677,1,19.4,0.6370968,2.793548
"28",2231,1813,13,63,1086,557,4,2015-04-30,14.4,4,0,20.2,0.399373,0.4761905
"29",1920,1546,19,68,756,547,5,2015-05-31,15.64516,7,0,42.2,0.08646959,0.75
"30",1632,1230,11,61,736,636,6,2015-06-30,19.83333,9.433333,0,19,0.2676976,0.3476191
"31",1744,988,20,74,661,368,7,2015-07-31,21.83871,12.16129,0,78.8,0.1011113,0.2891827
"32",2068,956,18,47,576,369,8,2015-08-31,20.67742,12.12903,0,47.4,-0.05317573,-0.002652517
"33",2165,976,12,55,746,483,9,2015-09-30,16.96667,8.766666,0,32.8,-0.1794592,-0.2772163
"34",2204,1081,15,55,547,356,10,2015-10-31,14.16129,7.774194,0,49.8,-0.1653464,-0.1132098
